Number,Name,Center coords
1,nastursium,"(1020, 102)"
2,nastursium,"(1200, 284)"
3,nastursium,"(834, 690)"
4,nastursium,"(734, 467)"
5,nastursium,"(1504, 220)"
6,nastursium,"(1525, 287)"
7,nastursium,"(1816, 470)"
8,marigold,"(1294, 222)"
9,marigold,"(1079, 535)"
10,marigold,"(543, 293)"
11,marigold,"(813, 592)"
12,marigold,"(209, 312)"
13,marigold,"(225, 235)"
14,marigold,"(1025, 755)"
15,marigold,"(1185, 587)"
16,marigold,"(1327, 672)"
17,marigold,"(1680, 719)"
18,marigold,"(1416, 348)"
19,dill,"(1000, 289)"
20,dill,"(935, 347)"
21,dill,"(810, 279)"
22,dill,"(1259, 152)"
23,dill,"(1226, 502)"
24,dill,"(1315, 633)"
25,dill,"(1192, 644)"
26,dill,"(1018, 692)"
27,dill,"(922, 674)"
28,dill,"(870, 642)"
29,dill,"(1611, 263)"
30,dill,"(1702, 288)"
31,dill,"(1602, 598)"
32,dill,"(1514, 631)"
33,dill,"(1596, 658)"
34,dill,"(1796, 200)"
35,dill,"(1161, 732)"
36,dill,"(667, 480)"
37,dill,"(466, 579)"
38,dill,"(286, 557)"
39,dill,"(329, 532)"
40,dill,"(1609, 105)"
41,dill,"(1175, 200)"
42,dill,"(1118, 230)"
43,dill,"(1452, 476)"
44,dill,"(617, 462)"
45,dill,"(522, 514)"
46,marigold,"(60, 490)"
47,marigold,"(1565, 28)"
48,marigold,"(476, 20)"
49,dill,"(1389, 183)"
50,dill,"(1371, 134)"
51,bok-choy,"(877, 89)"
52,bok-choy,"(772, 157)"
53,bok-choy,"(115, 50)"
54,bok-choy,"(226, 49)"
55,bok-choy,"(77, 68)"
56,bok-choy,"(722, 62)"
57,bok-choy,"(1023, 216)"
58,bok-choy,"(955, 213)"
59,bok-choy,"(1010, 360)"
60,bok-choy,"(810, 405)"
61,bok-choy,"(909, 327)"
62,bok-choy,"(529, 431)"
63,bok-choy,"(588, 400)"
64,bok-choy,"(214, 109)"
65,bok-choy,"(410, 88)"
66,bok-choy,"(902, 435)"
67,bok-choy,"(915, 498)"
68,bok-choy,"(615, 576)"
69,bok-choy,"(561, 684)"
70,calendula,"(1127, 65)"
71,calendula,"(1190, 92)"
72,calendula,"(1100, 487)"
73,calendula,"(1124, 266)"
74,calendula,"(759, 71)"
75,calendula,"(659, 25)"
76,calendula,"(467, 278)"
77,calendula,"(728, 562)"
78,calendula,"(1136, 178)"
79,calendula,"(1088, 185)"
80,bok-choy,"(101, 419)"
81,bok-choy,"(156, 350)"
82,bok-choy,"(186, 288)"
83,bok-choy,"(65, 611)"
84,bok-choy,"(182, 675)"
85,bok-choy,"(209, 565)"
86,bok-choy,"(200, 608)"
87,bok-choy,"(1191, 514)"
88,bok-choy,"(1231, 469)"
89,bok-choy,"(1146, 530)"
90,bok-choy,"(1110, 576)"
91,bok-choy,"(1028, 578)"
92,bok-choy,"(932, 584)"
93,bok-choy,"(876, 568)"
94,unknown,"(1266, 95)"
95,unknown,"(1277, 50)"
96,unknown,"(1313, 518)"
97,unknown,"(672, 399)"
98,unknown,"(769, 303)"
99,unknown,"(363, 204)"
100,unknown,"(201, 415)"
101,unknown,"(577, 582)"
102,unknown,"(177, 630)"
103,unknown,"(708, 668)"
104,unknown,"(783, 540)"
105,unknown,"(1640, 533)"
106,unknown,"(1560, 150)"
107,unknown,"(1336, 242)"
108,unknown,"(1298, 506)"
109,unknown,"(296, 79)"
110,unknown,"(1111, 319)"
111,unknown,"(1516, 675)"
112,radish,"(1392, 66)"
113,radish,"(1439, 21)"
114,radish,"(1623, 61)"
115,radish,"(1450, 219)"
116,radish,"(342, 478)"
117,radish,"(1180, 395)"
118,radish,"(1124, 442)"
119,radish,"(1500, 490)"
120,radish,"(1560, 388)"
121,radish,"(801, 476)"
122,radish,"(1476, 549)"
123,radish,"(421, 315)"
124,bok-choy,"(716, 232)"
125,bok-choy,"(1288, 186)"
126,bok-choy,"(984, 517)"
127,borage,"(601, 273)"
128,borage,"(621, 315)"
129,borage,"(343, 376)"
130,borage,"(339, 325)"
131,bok-choy,"(410, 511)"
132,bok-choy,"(401, 584)"
133,calendula,"(1743, 228)"
134,calendula,"(1619, 387)"
135,bok-choy,"(1279, 450)"